5,S,0
0,S,1
0,S,2
0.7,S,4
0,S,3
0,S,2
0.7,M,1
0.2,M,2
1,L,3
0.5,L,4
0.2,S,0
0.2,S,1
1,M,2
1,L,3
0.5,L,2
1,S,2
0.2,S,2
0.2,S,2
0.2,S,2
0.4,M,0
0,M,4
1,L,2
0.8,S,0
1,S,1
0.7,M,0
0,M,1
0,M,2
1,M,2
0,L,3
0,M,4
1.5,S,4
0.2,S,3
0.2,M,2
0.2,S,1
0.2,S,0
1,M,2
0.7,L,0
0,L,4
0.7,S,1
0,S,2
0,S,3
0.5,M,1
0,M,3
0.7,L,2
0.5,M,0
1,S,0
0,S,2
0,S,3
0,S,4
0.8,S,0
0,S,1
0,S,2
0,S,4
0.8,S,1
0,S,2
0,S,3
0,S,4
0.8,S,0
0,S,1
0,S,2
0,S,3
0.8,M,0
0,M,1
0,M,3
0,M,4
1,L,2
1.5,L,1
0,M,2
0,L,3
0.8,S,4
0,S,0
0.5,L,1
0,L,2
0,L,3
0.3,S,0
0,S,4
0.5,M,1
0,M,3
0.7,L,2
0,S,0
0,S,4
0.2,M,1
4,B,2
