5,S,1
0.2,S,1
0.2,S,1
0.7,S,3
0.2,S,3
0.2,S,3
2,M,1
0,M,2
0,M,3
2,L,0
0,L,4
3,S,0
0.2,S,1
0.2,S,2
0.2,S,3
0.5,M,2
1,M,4
0.5,M,2 
0.5,L,4
3,S,4
0.2,S,3
0.2,S,2
1,M,0
0.2,M,1
0.1,L,3
2.5,S,2
0.2,S,2
0.2,S,2
1,L,2
0,L,3
1.5,M,0
1,M,2
1,M,4
2,L,0
1,L,1
1,L,2
1,S,3
1,S,3
2,M,4
3,S,0
0,S,1
0,S,3
1,L,2
1,S,0
2,S,1
0,S,2
0,S,3
2,L,1
0,L,2
0,L,3
1.5,M,2
1,S,1
0,S,3
2,L,4
1,M,1
2,S,0
0,S,1
0,S,2
0,S,4
1,M,3
1,L,0
0.2,L,1
2,S,4
0,S,1
1,S,2
0,S,0
1,S,3
0,S,2
1,L,2
1,M,1
0,M,3
1.5,L,0
0.5,L,0
1,S,4
0.2,S,4
0.2,S,4
0.2,S,4
2,M,0
0.5,M,1
0.5,M,2
2,L,1
2,L,4
2,M,0
1,S,1
0.5,S,2
0.5,S,3
0,S,1
1,L,2
0,S,2
0,S,3
0,S,4
0.5,S,0
0,S,1
0,S,2
0,S,4
0.5,S,1
0,S,2
0,S,3
0,S,4
0.5,S,0
0,S,1
0,S,2
0,S,3
1,M,1
0,M,3
2,S,0
2,S,4
1,L,1
0.7,M,0
0,M,1
0,M,3
0,M,4
0.7,M,4
0,M,3
0,M,1
0,M,0
0.8,L,2
0,L,3
4,B,2
